# 	C1 E	C1 F	C2 E	C2 F	C3 E	C3 F	C4 E	C4 F
1 	1   	✗   	1   	✗   	1   	✗   	1   	✗   
2 	1   	✗   	1   	✗   	1   	✗   	1   	✗   
3 	✗   	✗   	✗   	✗   	✗   	✗   	✗   	1   
4 	2   	✗   	2   	✗   	2   	✗   	1   	1   
5 	1   	✗   	1   	✗   	1   	✗   	1   	✗   
6 	1   	✗   	1   	✗   	1   	✗   	1   	✗   
7 	1   	✗   	1   	✗   	1   	✗   	1   	✗   
8 	✗   	✗   	✗   	2   	✗   	2   	✗   	2   
9 	1   	✗   	1   	✗   	1   	✗   	1   	✗   
10	1   	✗   	1   	1   	1   	1   	1   	1   
11	1   	✗   	1   	✗   	1   	✗   	1   	✗   
12	✗   	✗   	✗   	1   	✗   	1   	✗   	1   
13	1   	✗   	1   	1   	1   	1   	1   	1   
14	1   	✗   	1   	✗   	1   	✗   	1   	✗   
15	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
16	1   	✗   	1   	2   	1   	1   	1   	1   
17	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
18	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
19	1   	✗   	1   	✗   	1   	✗   	1   	✗   
20	1   	✗   	1   	✗   	1   	✗   	1   	✗   
21	1   	✗   	1   	1   	1   	1   	1   	1   
22	1   	✗   	1   	2   	1   	2   	1   	1   
23	1   	✗   	1   	2   	1   	✗   	1   	✗   
24	1   	✗   	1   	✗   	1   	✗   	1   	✗   
25	1   	✗   	1   	✗   	1   	✗   	1   	✗   
26	2   	✗   	1   	✗   	1   	1   	1   	1   
27	1   	✗   	1   	1   	1   	1   	1   	1   
28	1   	✗   	1   	2   	1   	2   	1   	1   
29	1   	✗   	1   	2   	1   	2   	1   	2   
30	1   	✗   	1   	✗   	1   	✗   	1   	✗   
31	1   	✗   	1   	1   	1   	1   	1   	1   
32	2   	✗   	1   	✗   	1   	✗   	1   	✗   
33	2   	✗   	1   	✗   	1   	✗   	1   	2   
34	2   	✗   	2   	✗   	1   	2   	1   	1   
35	3   	✗   	2   	✗   	1   	✗   	1   	✗   
36	✗   	✗   	✗   	✗   	1   	2   	1   	2   
37	1   	✗   	1   	✗   	1   	✗   	1   	✗   
38	1   	✗   	1   	✗   	1   	1   	1   	1   
39	1   	✗   	1   	✗   	1   	✗   	1   	✗   
40	1   	✗   	1   	✗   	1   	✗   	1   	✗   
41	1   	✗   	1   	✗   	1   	✗   	1   	1   
42	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
43	1   	✗   	1   	✗   	1   	1   	1   	1   
44	1   	✗   	1   	✗   	1   	✗   	1   	✗   
45	1   	✗   	1   	✗   	1   	1   	1   	1   
46	✗   	✗   	✗   	✗   	1   	1   	1   	1   
47	1   	✗   	1   	✗   	1   	4   	1   	✗   
48	✗   	✗   	✗   	8   	✗   	8   	✗   	8   
49	✗   	✗   	3   	2   	3   	2   	3   	2   
50	1   	✗   	1   	✗   	1   	✗   	1   	✗   
51	1   	✗   	1   	✗   	1   	✗   	1   	✗   
52	1   	✗   	1   	✗   	1   	✗   	1   	✗   
53	1   	✗   	1   	✗   	1   	✗   	1   	1   
54	1   	✗   	1   	✗   	1   	1   	1   	1   
55	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
56	1   	✗   	1   	✗   	1   	✗   	1   	✗   
57	1   	✗   	1   	✗   	1   	✗   	1   	✗   
58	1   	✗   	1   	✗   	1   	✗   	1   	✗   
59	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
60	1   	✗   	1   	✗   	1   	✗   	1   	✗   
61	3   	✗   	3   	2   	3   	2   	3   	1   
62	1   	✗   	1   	1   	1   	1   	1   	1   
63	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
64	1   	✗   	1   	2   	1   	✗   	1   	✗   
65	1   	✗   	1   	✗   	1   	✗   	1   	✗   
66	1   	✗   	1   	2   	1   	1   	1   	1   
67	✗   	✗   	✗   	✗   	✗   	✗   	1   	1   
68	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
69	1   	✗   	1   	✗   	1   	✗   	1   	1   
70	✗   	✗   	✗   	✗   	1   	1   	1   	1   
71	1   	✗   	1   	✗   	✗   	✗   	✗   	✗   
72	1   	✗   	1   	✗   	1   	✗   	1   	✗   
73	1   	✗   	1   	✗   	1   	1   	1   	✗   
74	2   	✗   	1   	✗   	1   	✗   	1   	✗   
75	1   	✗   	1   	✗   	1   	✗   	1   	1   
76	1   	✗   	1   	✗   	1   	4   	1   	1   
77	✗   	✗   	✗   	✗   	✗   	1   	✗   	1   
78	✗   	✗   	✗   	✗   	✗   	1   	✗   	1   
79	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
80	1   	✗   	1   	✗   	1   	1   	1   	1   
81	5   	✗   	5   	✗   	5   	✗   	5   	✗   
82	3   	✗   	2   	1   	2   	1   	2   	1   
83	✗   	✗   	✗   	✗   	✗   	✗   	✗   	✗   
84	1   	✗   	1   	✗   	1   	✗   	1   	✗   
85	1   	✗   	1   	✗   	1   	✗   	1   	✗   
86	1   	✗   	1   	✗   	1   	✗   	1   	✗   
87	1   	✗   	1   	✗   	1   	1   	1   	1   
88	1   	✗   	1   	✗   	1   	✗   	1   	✗   
89	✗   	✗   	1   	✗   	1   	✗   	1   	✗   
A 	67  	0   	69  	19  	71  	33  	72  	39
